Nameserver,Provider,Solution
.ultradns.co.uk.,Neustar,UltraDNS
.ultradns.com.,Neustar,UltraDNS
.ultradns.info.,Neustar,UltraDNS
.ultradns.net.,Neustar,UltraDNS
.ultradns.org.,Neustar,UltraDNS
.uu.net.,Verizon,UUNet
.verisigndns.com.,Verisign,Verisign Managed DNS
.verizon.net.,Verizon,ISP-provided DNS
.vistech.net.,Visual Technologies Inc.,Managed DNS
.viviotech.net.,Vivio Technologies,Web Host-provided DNS
.webnames.ca.,Webnames.ca,Registrar-provided DNS
.websitewelcome.com.,HostGator,Web Host-provided DNS
.wellsfargo.com.,Wells Fargo,Self-Hosted Unknown
.wf.com.,Wells Fargo,Self-Hosted Unknown
.wixdns.net.,Wix,Web Host-provided DNS
.worldnic.com.,Network Solutions,Network Solutions
.yourhostingaccount.com.,Powweb.com,Web Host-provided DNS
.ztomy.com.,Network Solutions,ZToMy (New Venture Account)
